gene	symbol	log2FoldChange	lfcSE	pvalue	padj
ENSG0116488	GENE16488	-6.068	0.177	0.04135068453451407	0.0001756072953930897
ENSG0109713	GENE9713	6.124	0.326	0.04365092601022813	0.00017632747888229476
ENSG0106901	GENE6901	4.875	0.266	0.014434560649803863	0.00017937217048211534
ENSG0103570	GENE3570	-3.912	0.351	0.006211893702408933	0.00018371238341337483
ENSG0111791	GENE11791	-1.287	0.263	0.0005884071389556933	0.00018472319811661437
ENSG0114466	GENE14466	5.415	0.193	0.02450345862493475	0.00018736285284701667
ENSG0106849	GENE6849	-4.07	0.493	0.007351143008522465	0.00018853815679349974
ENSG0112170	GENE12170	7.229	0.462	0.1280948267061809	0.00019133713177303763
ENSG0110036	GENE10036	-7.289	0.47	0.1354827412874441	0.00019185221287492014
ENSG0102507	GENE2507	-5.263	0.293	0.02286791235845398	0.0002004997102061646
ENSG0100321	GENE321	-5.575	0.369	0.030685794932310384	0.00020319704102263414
ENSG0105656	GENE5656	3.277	0.331	0.00445951942917544	0.0002334864972894102
ENSG0115146	GENE15146	2.237	0.4	0.0017613884897779153	0.00023515009349724236
ENSG0107281	GENE7281	5.116	0.227	0.023773391284239498	0.0002379590205187039
ENSG0110918	GENE10918	-5.281	0.288	0.028204604110213305	0.00024323864824170796
ENSG0104677	GENE4677	-7.167	0.252	0.1636987380736593	0.000258759028314748
ENSG0108976	GENE8976	-4.344	0.135	0.013707082253429648	0.0002747787406782631
ENSG0102085	GENE2085	0.049	0.195	0.00030280702398277626	0.00028981932085227636
ENSG0101771	GENE1771	-5.41	0.159	0.03787132918277003	0.00029081798368533037
ENSG0101279	GENE1279	3.073	0.369	0.00538451829958253	0.0003387955890823349
ENSG0113733	GENE13733	6.065	0.446	0.08091130150491921	0.0003448136297652205
ENSG0112398	GENE12398	-0.403	0.301	0.0005052179346021202	0.0003515703258053803
ENSG0105490	GENE5490	3.514	0.236	0.00848525806319933	0.00035911911050561445
ENSG0114693	GENE14693	0.101	0.1	0.00040594801744608944	0.00037073750448707267
ENSG0115036	GENE15036	4.046	0.156	0.01426462527259098	0.0003738549771252036
ENSG0107537	GENE7537	-1.875	0.241	0.00202691011395828	0.0003748018481537943
ENSG0106613	GENE6613	5.243	0.437	0.042597198527156044	0.0003803525983058201
ENSG0105954	GENE5954	3.18	0.462	0.006872589288791642	0.00039289465226466884
ENSG0107163	GENE7163	1.678	0.144	0.0018319724057234144	0.0004047024417572597
ENSG0113743	GENE13743	0.699	0.276	0.000762804788836835	0.00040676430151709406
ENSG0106839	GENE6839	-4.851	0.194	0.03214070591860607	0.00040822405314458357
ENSG0106913	GENE6913	3.619	0.287	0.01115875823848056	0.0004295502916489384
ENSG0113972	GENE13972	4.254	0.162	0.019801509202033718	0.0004302918163560838
ENSG0103698	GENE3698	4.764	0.339	0.03152378820670221	0.00043292116250569923
ENSG0106218	GENE6218	-4.093	0.369	0.017228943867916402	0.0004330104378191302
ENSG0113162	GENE13162	-8.466	0.345	0.8855897937154424	0.0004344931389437335
ENSG0114984	GENE14984	-0.174	0.246	0.0005097138811718249	0.0004359892410190741
ENSG0107518	GENE7518	-5.128	0.482	0.04471940417733877	0.00044263024881906085
ENSG0112477	GENE12477	-5.705	0.353	0.08029712596316374	0.0004727603737958081
ENSG0114450	GENE14450	4.599	0.264	0.030384907488818613	0.00048440659748912805
ENSG0101941	GENE1941	0.245	0.321	0.0006073794181026271	0.00048715361355191087
ENSG0107765	GENE7765	-6.233	0.166	0.13581140526233226	0.0004974970242076438
ENSG0108627	GENE8627	-2.737	0.473	0.005883489436240619	0.0005007825771272856
ENSG0114948	GENE14948	-1.216	0.335	0.0015175432702264624	0.0005081460729136292
ENSG0101779	GENE1779	5.394	0.368	0.06532909209980686	0.0005089875089378039
ENSG0107259	GENE7259	-3.934	0.279	0.01776194167320666	0.0005151039461329721
ENSG0110486	GENE10486	7.078	0.466	0.30511476686492756	0.000522529111946536
ENSG0115963	GENE15963	-4.777	0.387	0.0396807221763632	0.0005388634758790583
ENSG0101645	GENE1645	3.846	0.2	0.01719204135199648	0.0005394578979141888
ENSG0115714	GENE15714	-4.535	0.159	0.03201114713021658	0.0005404596618754227
ENSG0115303	GENE15303	-1.687	0.401	0.0024736496953984277	0.0005417961745553287
ENSG0108917	GENE8917	1.535	0.458	0.00217778885385711	0.0005470675663185823
ENSG0112479	GENE12479	4.492	0.497	0.03125730259286097	0.000548611593917814
ENSG0116967	GENE16967	-4.543	0.121	0.03289776160438429	0.0005513797122461783
ENSG0100068	GENE68	2.178	0.182	0.003935523471655267	0.0005543275569954287
ENSG0116094	GENE16094	-5.831	0.222	0.10548220348906168	0.000554612691101994
ENSG0105179	GENE5179	6.181	0.401	0.14680857210329545	0.0005633016170293936
ENSG0101358	GENE1358	5.3	0.153	0.06813365001415594	0.0005779448122139116
ENSG0115434	GENE15434	-0.02	0.487	0.0006138660617241998	0.0006029385055314514
ENSG0106150	GENE6150	5.033	0.108	0.05690282225609278	0.0006137040271325694
ENSG0109632	GENE9632	-1.509	0.144	0.0024912644140411278	0.0006407488841446279
ENSG0109310	GENE9310	-2.365	0.453	0.005406997493808685	0.0006434029351877201
ENSG0107666	GENE7666	-0.673	0.173	0.0011895993410929728	0.0006494432463439369
ENSG0104247	GENE4247	6.263	0.471	0.18709352571864535	0.0006667069468699151
ENSG0104908	GENE4908	2.425	0.461	0.005974643251669631	0.0006739908534995269
ENSG0101120	GENE1120	-1.72	0.233	0.0031774694614977728	0.0006758301168802453
ENSG0107363	GENE7363	-4.865	0.176	0.05465115657358122	0.0006855467206750652
ENSG0116721	GENE16721	2.298	0.489	0.00552883973572349	0.0006992299975852583
ENSG0114039	GENE14039	-4.713	0.361	0.04925238577293445	0.0007081323845168601
ENSG0112402	GENE12402	6.624	0.446	0.27767061492866885	0.0007150325077064225
ENSG0105748	GENE5748	-5.137	0.455	0.07302808631600843	0.0007168435561336659
ENSG0116738	GENE16738	-4.435	0.496	0.03894841543164096	0.0007196944853292541
ENSG0115093	GENE15093	-4.753	0.242	0.05201324358077897	0.0007215280523022428
ENSG0115154	GENE15154	4.23	0.276	0.03304152909402713	0.0007339696094677492
ENSG0116345	GENE16345	-6.237	0.255	0.20192514094441782	0.0007366052453995773
ENSG0114393	GENE14393	1.572	0.34	0.00303423619307297	0.0007373653127561719
ENSG0112908	GENE12908	-5.681	0.118	0.12435927779856237	0.0007487445715990325
ENSG0110768	GENE10768	4.141	0.346	0.031159401172519363	0.0007497396495902473
ENSG0104331	GENE4331	-5.168	0.225	0.0795134846965484	0.0007593496459132258
ENSG0101093	GENE1093	5.757	0.322	0.13564633658486558	0.000762342703691734
ENSG0113363	GENE13363	4.295	0.469	0.03680156776444188	0.0007708705551572698
ENSG0103837	GENE3837	-2.623	0.125	0.008244885926810386	0.0007778530190977765
ENSG0110149	GENE10149	2.302	0.382	0.006204998903948322	0.000781394548061546
ENSG0112328	GENE12328	-6.933	0.271	0.413781607524785	0.000807354546245707
ENSG0108720	GENE8720	7.052	0.226	0.4680165800510041	0.0008203997016377844
ENSG0102863	GENE2863	4.285	0.256	0.039393863599278545	0.0008326269638477055
ENSG0115935	GENE15935	-1.643	0.372	0.003682145565314876	0.0008389157061744788
ENSG0100649	GENE649	-5.899	0.119	0.17002461985299266	0.0008408954064481811
ENSG0103930	GENE3930	-1.113	0.134	0.0022956138593352993	0.0008429324106852832
ENSG0101928	GENE1928	-4.997	0.191	0.078302759664305	0.0008718900672870871
ENSG0111485	GENE11485	-4.023	0.293	0.03269890052071578	0.0008748878856863076
ENSG0116396	GENE16396	-0.272	0.244	0.001117668706566488	0.0008752170549189556
ENSG0117636	GENE17636	-0.417	0.151	0.001277631978773508	0.0008778761961641485
ENSG0106884	GENE6884	-5.08	0.496	0.08584637999520428	0.0008870928871958639
ENSG0110084	GENE10084	0.605	0.271	0.0015387944948473953	0.0008928274730044905
ENSG0108043	GENE8043	-0.763	0.348	0.0017786655219192982	0.0008949383527514837
ENSG0113108	GENE13108	6.304	0.44	0.2605963933679959	0.0008950894311711779
ENSG0107779	GENE7779	-4.724	0.4	0.06298479800937429	0.0008973432771360061
ENSG0111385	GENE11385	0.603	0.197	0.0015740723331193474	0.0009145963117610482
ENSG0111605	GENE11605	4.725	0.349	0.06429365770303597	0.0009149248552523396
ENSG0112110	GENE12110	0.49	0.291	0.0014261412353024916	0.000917185578893751
ENSG0116438	GENE16438	1.017	0.428	0.0023303958262996805	0.0009330962869895554
ENSG0108586	GENE8586	-6.221	0.103	0.2527106308490611	0.0009353637607273184
ENSG0114290	GENE14290	-5.251	0.471	0.10579307469008448	0.000937574190753209
ENSG0100693	GENE693	-1.799	0.45	0.0048005360933846	0.0009511742909582903
ENSG0111242	GENE11242	1.293	0.34	0.0030537635779328554	0.0009539147165922313
ENSG0108955	GENE8955	-1.692	0.195	0.00444247573414891	0.000968816552006367
ENSG0115170	GENE15170	-1.357	0.366	0.0033096366762593865	0.0009760434520867158
ENSG0104151	GENE4151	-0.401	0.201	0.0014146913390482574	0.0009857385686821622
ENSG0101906	GENE1906	4.938	0.438	0.08496492682820211	0.0009983425993487954
ENSG0108285	GENE8285	5.885	0.441	0.20004813032706825	0.001002287399829687
ENSG0107568	GENE7568	3.997	0.335	0.037309187949135736	0.001022280020868032
ENSG0110974	GENE10974	-5.709	0.203	0.17611035572575062	0.0010338304167142901
ENSG0115901	GENE15901	-1.108	0.124	0.002803639048633788	0.0010338341391288445
ENSG0113968	GENE13968	-6.702	0.309	0.43187400254030806	0.001037253496394896
ENSG0102323	GENE2323	-6.673	0.102	0.42398066447818783	0.0010447868829064552
ENSG0106731	GENE6731	5.144	0.272	0.10718532661398927	0.001045637824460568
ENSG0103455	GENE3455	5.823	0.176	0.1989858933640215	0.0010541710774987782
ENSG0103488	GENE3488	-3.814	0.376	0.032811127782199856	0.0010598575187636614
ENSG0116841	GENE16841	-3.398	0.451	0.022884212091090594	0.0010750904812834817
ENSG0111595	GENE11595	3.958	0.375	0.038131353291764536	0.0010818819291216043
ENSG0106834	GENE6834	-2.342	0.489	0.008984503292226886	0.0010914265809260175
ENSG0108066	GENE8066	-3.803	0.381	0.03460645830456022	0.0011293946149301545
ENSG0113322	GENE13322	6.356	0.431	0.34987470352373506	0.0011468414059223624
ENSG0104951	GENE4951	-0.228	0.456	0.0014170883043839178	0.001153793990660326
ENSG0114063	GENE14063	-3.256	0.232	0.0218067311156368	0.0011635095350375404
ENSG0103690	GENE3690	-5.254	0.301	0.13200109545280736	0.0011671628688627888
ENSG0114003	GENE14003	-5.523	0.428	0.1693401843068595	0.001174838601868317
ENSG0105329	GENE5329	-0.433	0.409	0.0017768648719429514	0.0012031486864240897
ENSG0103787	GENE3787	5.235	0.271	0.13449914542988295	0.0012096971066744091
ENSG0112414	GENE12414	4.301	0.437	0.058245418192718335	0.0012135645962301912
ENSG0107639	GENE7639	-1.67	0.496	0.005462917402356826	0.001214843281252065
ENSG0105846	GENE5846	5.017	0.411	0.11127040191832904	0.0012173818929396797
ENSG0115812	GENE15812	-3.77	0.299	0.036562557027694065	0.001229258155214951
ENSG0108170	GENE8170	6.25	0.178	0.3417475617444151	0.0012324496674930424
ENSG0103103	GENE3103	-1.523	0.203	0.0048633302925484845	0.0012350362603263225
ENSG0108316	GENE8316	-6.476	0.372	0.4297157742411659	0.001264403529956581
ENSG0103885	GENE3885	-3.075	0.473	0.02016223589196986	0.0012667681807039526
ENSG0113449	GENE13449	-3.221	0.351	0.02310208872101438	0.0012730019860577955
ENSG0114934	GENE14934	3.319	0.37	0.025278139991570803	0.0012742992977478342
ENSG0111098	GENE11098	-0.891	0.486	0.002861402846083938	0.001282780500282667
ENSG0101272	GENE1272	1.381	0.476	0.004445514393439098	0.0012828809732812734
ENSG0115494	GENE15494	-0.858	0.294	0.002780220034160674	0.001284559673146232
ENSG0101612	GENE1612	4.217	0.225	0.057559214040594164	0.0012942236319632935
ENSG0103454	GENE3454	4.985	0.157	0.11749983464941371	0.0013234951592435104
ENSG0106515	GENE6515	6.385	0.429	0.4155731780573255	0.0013269336736523108
ENSG0106082	GENE6082	0.913	0.151	0.0030310100972714693	0.0013326541895210178
ENSG0101971	GENE1971	-6.64	0.286	0.5273664514622328	0.0013387348382466306
ENSG0112973	GENE12973	1.689	0.433	0.006163645542032525	0.0013481919527877932
ENSG0116834	GENE16834	-7.053	0.26	0.7804946707460956	0.001366555510494274
ENSG0103716	GENE3716	-1.119	0.327	0.0037811288556575118	0.0013814633704009429
ENSG0112088	GENE12088	0.151	0.253	0.0015857353981435507	0.001384804322096248
ENSG0107841	GENE7841	-5.176	0.428	0.14668441186199133	0.0013911669314922222
ENSG0112995	GENE12995	2.016	0.266	0.008562119484123665	0.0013954392767654973
ENSG0104199	GENE4199	-3.879	0.379	0.04609067031724068	0.0014037489999186874
ENSG0114174	GENE14174	2.616	0.454	0.014828258356541002	0.0014077364355658422
ENSG0107232	GENE7232	0.999	0.188	0.0034751875213411276	0.0014140056620259125
ENSG0100665	GENE665	-6.298	0.27	0.4129922819587626	0.0014265999445889084
ENSG0105623	GENE5623	4.975	0.38	0.12607369530750556	0.0014329945369273799
ENSG0107746	GENE7746	0.94	0.296	0.0033560016973585016	0.001439738449391878
ENSG0102811	GENE2811	5.32	0.473	0.17576605266345768	0.0014643089137381434
ENSG0110374	GENE10374	3.437	0.131	0.03253016403042486	0.0014753666355862092
ENSG0104111	GENE4111	5.294	0.381	0.173788851289445	0.0014814282639355808
ENSG0105496	GENE5496	3.014	0.401	0.022402838899055144	0.0014862481022322532
ENSG0114811	GENE14811	-6.207	0.216	0.3979578343976612	0.001491375547316326
ENSG0108958	GENE8958	1.219	0.282	0.004471946689002859	0.0014930039986607213
ENSG0107614	GENE7614	-1.457	0.253	0.0056542874180197655	0.0015236492514953321
ENSG0104045	GENE4045	-1.479	0.346	0.005770567828942363	0.001523858840368628
ENSG0104092	GENE4092	-1.123	0.219	0.004272158405106752	0.0015543481170885141
ENSG0101742	GENE1742	-1.3	0.318	0.005015508145546299	0.0015562587642894768
ENSG0109507	GENE9507	6.428	0.37	0.512831820457631	0.0015753803705218163
ENSG0113051	GENE13051	6.199	0.293	0.4222834732260591	0.00159402695104004
ENSG0113612	GENE13612	5.43	0.377	0.21316102876463072	0.0016087484332989396
ENSG0117607	GENE17607	-0.308	0.115	0.0021262723302604147	0.0016114483971934736
ENSG0117678	GENE17678	-4.691	0.439	0.1105204525730038	0.001621691695760839
ENSG0103827	GENE3827	-4.284	0.402	0.07727551678499456	0.0016357566265120002
ENSG0114058	GENE14058	0.504	0.451	0.002574947041249276	0.0016361852197232995
ENSG0113535	GENE13535	-1.005	0.494	0.004054913101640634	0.0016407808919811258
ENSG0117865	GENE17865	5.525	0.456	0.2377083711818414	0.0016459947358270569
ENSG0103037	GENE3037	-4.426	0.231	0.0887834518634737	0.0016537291625915013
ENSG0103243	GENE3243	7.035	0.298	0.9333531993718513	0.0016602346219214833
ENSG0107245	GENE7245	-3.941	0.382	0.05774454234996673	0.001663226332708647
ENSG0108094	GENE8094	3.828	0.207	0.05240255379241565	0.0016710725662889355
ENSG0109626	GENE9626	-4.581	0.387	0.10464487083431073	0.001695218447142628
ENSG0104574	GENE4574	5.004	0.164	0.15319791970145757	0.0016956728894451962
ENSG0100901	GENE901	6.627	0.3	0.6693668265491823	0.0017200065289573819
ENSG0115108	GENE15108	-2.654	0.409	0.018754104106330716	0.0017206731239116156
ENSG0115673	GENE15673	-1.963	0.479	0.010078658265500584	0.0017221787246015621
ENSG0111783	GENE11783	-4.133	0.436	0.07142127887101724	0.0017308693189927449
ENSG0116757	GENE16757	-0.138	0.133	0.0019753163617329816	0.0017439085608460959
ENSG0110582	GENE10582	1.508	0.35	0.006790024586462273	0.0017483459658271144
ENSG0116620	GENE16620	-5.405	0.424	0.2301596222247042	0.001776529634247528
ENSG0107808	GENE7808	-1.908	0.465	0.009889920115927375	0.001776694489778331
ENSG0104669	GENE4669	-1.783	0.256	0.008862369267910508	0.0017806742253469578
ENSG0103019	GENE3019	-5.232	0.333	0.19759734167747933	0.0017807765363768103
ENSG0108701	GENE8701	0.43	0.208	0.002640689606954072	0.0017933822874079736
ENSG0108883	GENE8883	4.571	0.487	0.11113431660796369	0.0018167027793656143
ENSG0109652	GENE9652	-5.168	0.453	0.19087447043166805	0.0018236311506563845
ENSG0117755	GENE17755	-5.044	0.481	0.1712520592402641	0.0018288019799514352
ENSG0107134	GENE7134	1.029	0.219	0.004652272282596126	0.001843370724743459
ENSG0104286	GENE4286	-4.223	0.221	0.08252298201753194	0.0018444807370776785
ENSG0112065	GENE12065	-6.798	0.354	0.8393977258872949	0.0018488283486814108
ENSG0100554	GENE554	-4.455	0.424	0.10216571978661615	0.0018543704903723648
ENSG0108818	GENE8818	6.912	0.263	0.9326912088508835	0.0018544503185421593
ENSG0114167	GENE14167	-1.374	0.258	0.006443132674988639	0.0018705458103092034
ENSG0109633	GENE9633	-3.36	0.258	0.038670039942265144	0.0018788086025247083
ENSG0105085	GENE5085	-5.618	0.233	0.2998834165666804	0.0019099092620243768
ENSG0103631	GENE3631	0.734	0.351	0.0037043097903526334	0.001913351992772656
ENSG0105867	GENE5867	-1.835	0.459	0.010016727144389836	0.0019213631100588266
ENSG0115611	GENE15611	1.994	0.424	0.011565463001382836	0.0019215656128551265
ENSG0113639	GENE13639	1.08	0.13	0.0051062619279478305	0.0019317216888977379
ENSG0103302	GENE3302	-5.655	0.119	0.3150801326808096	0.0019407028152790605
ENSG0101079	GENE1079	-3.921	0.411	0.06671712572679167	0.0019580055504209506
ENSG0110644	GENE10644	-1.769	0.34	0.009762102966571096	0.0019857028927106283
ENSG0102874	GENE2874	-1.775	0.264	0.009811257247980154	0.001985732564546739
ENSG0113473	GENE13473	5.461	0.249	0.27089944050902215	0.0019877730197308853
ENSG0114704	GENE14704	-4.716	0.301	0.13895057339423889	0.001993494968927652
ENSG0113850	GENE13850	0.864	0.464	0.0043602729549658825	0.002002822228334985
ENSG0101248	GENE1248	-5.317	0.364	0.2403532412707008	0.002006707926240603
ENSG0105729	GENE5729	-2.217	0.235	0.014769187439024667	0.0020078455442878456
ENSG0106138	GENE6138	5.182	0.407	0.21286968568463616	0.0020081481390862715
ENSG0117009	GENE17009	0.245	0.292	0.002506472884657218	0.002010048700581643
ENSG0114019	GENE14019	-6.231	0.413	0.5491763252007629	0.0020151950633526886
ENSG0105939	GENE5939	-5.6	0.156	0.3112835318565754	0.0020158397220963924
ENSG0110398	GENE10398	6.197	0.169	0.5351422499220538	0.0020246742664292248
ENSG0111010	GENE11010	-1.782	0.116	0.010167461123416377	0.0020445825078186297
ENSG0106753	GENE6753	-5.866	0.268	0.40195139857710505	0.002049031785740179
ENSG0110543	GENE10543	0.445	0.329	0.0030773312590096635	0.0020614156111056063
ENSG0111902	GENE11902	-0.183	0.416	0.0024329906572903015	0.0020631801662997595
ENSG0109773	GENE9773	-5.149	0.448	0.2124798640408292	0.00206365746359054
ENSG0105207	GENE5207	-3.65	0.255	0.05562949026985631	0.0020825408528366623
ENSG0116741	GENE16741	-5.561	0.415	0.31430204461010147	0.0021070697014038096
ENSG0111331	GENE11331	5.533	0.25	0.30652397974695367	0.0021076362038054204
ENSG0108784	GENE8784	6.072	0.104	0.4985685399977803	0.0021103779020828204
ENSG0109833	GENE9833	-1.75	0.399	0.010315213295535752	0.0021351480476710302
ENSG0112138	GENE12138	2.302	0.186	0.016971378014278726	0.002137569233568542
ENSG0103636	GENE3636	-1.898	0.253	0.011803484861490965	0.0021389532988354775
ENSG0111618	GENE11618	-2.078	0.389	0.013907259502410785	0.0021420761073136043
ENSG0105857	GENE5857	-4.783	0.39	0.15987291845844653	0.002158724444843095
ENSG0107511	GENE7511	3.945	0.425	0.07554142902757444	0.0021680473860610943
ENSG0104356	GENE4356	-0.866	0.117	0.004731303909840667	0.0021698172313972656
ENSG0106996	GENE6996	2.316	0.487	0.017472849688188408	0.0021734297335366977
ENSG0108624	GENE8624	6.49	0.252	0.7496825912326037	0.0021785614992380054
ENSG0106892	GENE6892	-0.886	0.453	0.004847998136619958	0.0021834500996461047
ENSG0115763	GENE15763	2.859	0.153	0.028722809810189043	0.0021906143324667933
ENSG0105169	GENE5169	1.033	0.364	0.005551845753833606	0.0021908229957817173
ENSG0115373	GENE15373	1.717	0.479	0.010274982765684282	0.0021910200716806078
ENSG0107771	GENE7771	-4.23	0.171	0.09907882088864584	0.0022013573370099192
ENSG0104646	GENE4646	-4.883	0.301	0.1793066255251794	0.002212376653524945
ENSG0106603	GENE6603	-6.515	0.493	0.7790498109522984	0.002213588276669833
ENSG0107737	GENE7737	-6.432	0.284	0.7241372349919805	0.002216327788682103
ENSG0115058	GENE15058	-0.034	0.225	0.0022894334603620337	0.0022204183912901327
ENSG0100767	GENE767	-1.778	0.274	0.011001518740890281	0.002220834360982035
ENSG0101782	GENE1782	5.942	0.248	0.4668765656508771	0.0022220179657098356
ENSG0116660	GENE16660	-5.897	0.499	0.4499446102769018	0.002229087221832829
ENSG0115850	GENE15850	-0.895	0.34	0.004987591470803188	0.002229488181735731
ENSG0104376	GENE4376	-1.054	0.37	0.005767767949459213	0.002234470122931259
ENSG0112273	GENE12273	-6.36	0.371	0.6843598185387725	0.002235492908088071
ENSG0103607	GENE3607	-0.724	0.436	0.004313008023903886	0.0022488290531495754
ENSG0115354	GENE15354	0.161	0.234	0.0026070484895871493	0.002255127374652444
ENSG0108283	GENE8283	-1.855	0.494	0.012001941871036759	0.0022607401915449615
ENSG0107522	GENE7522	-5.326	0.176	0.27375209801904155	0.002267151046965692
ENSG0116638	GENE16638	3.75	0.494	0.06628518646645465	0.0022691161947765936
ENSG0108202	GENE8202	-2.068	0.235	0.014634247608462547	0.002274661305465946
ENSG0113265	GENE13265	6.69	0.135	0.9394261751435556	0.002279676316931168
ENSG0112141	GENE12141	3.885	0.43	0.075300719406166	0.0022821228581639493
ENSG0104294	GENE4294	4.439	0.156	0.1244474144330886	0.002290623425648891
ENSG0107152	GENE7152	-2.87	0.113	0.030447530407904266	0.0022994895889297704
ENSG0104207	GENE4207	6.548	0.448	0.8362048054127923	0.002306464298223238
ENSG0109800	GENE9800	1.615	0.29	0.00986767568784197	0.0023073174991127326
ENSG0104989	GENE4989	1.268	0.252	0.007227660794782209	0.0023083611404825684
ENSG0109519	GENE9519	5.506	0.181	0.3279891671221713	0.0023112946495947887
ENSG0100935	GENE935	2.95	0.43	0.03293221253767731	0.002314633071468978
ENSG0113337	GENE13337	-2.209	0.272	0.016907556618012576	0.0023147382423139963
ENSG0116006	GENE16006	1.818	0.26	0.011893781312404594	0.002316766926193502
ENSG0115656	GENE15656	5.311	0.138	0.2774597528397773	0.0023302848872465464
ENSG0111203	GENE11203	-4.852	0.343	0.18374267832569513	0.002331631047025148
ENSG0117195	GENE17195	5.836	0.484	0.4459149746967376	0.0023350636369626407
ENSG0105742	GENE5742	5.04	0.145	0.21818172933278246	0.0023384621346500428
ENSG0108646	GENE8646	3.517	0.199	0.055567906023536784	0.00234413251187139
ENSG0102660	GENE2660	-4.168	0.174	0.10025551463575166	0.0023550343456001026
ENSG0110298	GENE10298	-2.303	0.272	0.018835411675710012	0.0023695120375183706
ENSG0105920	GENE5920	-0.047	0.337	0.002473176113001463	0.0023706753722265803
ENSG0112733	GENE12733	-3.054	0.437	0.037110567223426094	0.0023761169952081786
ENSG0110238	GENE10238	-6.334	0.161	0.710915444710087	0.002377206453944376
ENSG0105221	GENE5221	1.273	0.216	0.007535139423978321	0.0023972397212418018
ENSG0105898	GENE5898	3.185	0.27	0.04271637229083425	0.002430573577780905
ENSG0110158	GENE10158	-0.479	0.259	0.0037484888713731346	0.0024362131269422636
ENSG0104217	GENE4217	0.853	0.289	0.005334429083270642	0.0024749373473593596
ENSG0111832	GENE11832	1.456	0.333	0.00920512858493261	0.002482362567956091
ENSG0115136	GENE15136	1.818	0.233	0.012785232905175303	0.0024905722300856995
ENSG0112952	GENE12952	6.069	0.321	0.5889916725556549	0.002499778391861575
ENSG0101407	GENE1407	-0.395	0.388	0.003584375369424464	0.002511715356183454
ENSG0110058	GENE10058	-1.13	0.216	0.007025163143948743	0.0025410181943487393
ENSG0117498	GENE17498	-5.763	0.395	0.45641982992510133	0.002551420917966338
ENSG0100966	GENE966	-3.671	0.462	0.06946345147207289	0.0025514587187359383
ENSG0113776	GENE13776	-6.236	0.247	0.6999984393031438	0.002556699685820654
ENSG0104117	GENE4117	-4.642	0.135	0.16676035864340888	0.0025575350183642495
ENSG0104770	GENE4770	2.668	0.234	0.028466924621842082	0.0025795670999450913
ENSG0101124	GENE1124	1.133	0.198	0.007156608342859139	0.0025812586038323846
ENSG0105746	GENE5746	4.764	0.351	0.18806204635119128	0.0025830188969345694
ENSG0107024	GENE7024	5.537	0.369	0.3790996049606825	0.0025980356567362425
ENSG0114093	GENE14093	-4.627	0.171	0.16748177790157537	0.002602592696116782
ENSG0106101	GENE6101	2.211	0.116	0.01909065014433553	0.0026092774812626223
ENSG0102500	GENE2500	4.719	0.143	0.1829966132648233	0.002617337944274837
ENSG0102034	GENE2034	-5.112	0.391	0.2622096771677985	0.0026325122358436997
ENSG0107732	GENE7732	-3.309	0.22	0.05180166920393425	0.0026366931603087162
ENSG0104014	GENE4014	5.216	0.199	0.2902007373521621	0.002654476435969533
ENSG0109019	GENE9019	1.612	0.153	0.011332267048162259	0.002656229022811105
ENSG0104726	GENE4726	1.666	0.384	0.011953217866958465	0.0026679114293000246
ENSG0111599	GENE11599	5.3	0.229	0.31612427914654595	0.002682038823058036
ENSG0115558	GENE15558	-1.121	0.299	0.0073747513550344035	0.0026880176655158304
ENSG0115056	GENE15056	5.952	0.472	0.5732407286978402	0.002703006985259126
ENSG0111979	GENE11979	4.523	0.336	0.15870334174084966	0.0027072554277353554
